,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO
569,TEA00096,"TEA K 1/2""ØX18""X24"" ESCUADRA BLOCK/CMARI",2200.0,773.91
570,PT00083,PT-100 6MMØX30MM EXT3MT BAY-2G RES/MALLA,978.6,477.85
571,TEA00100,TEA J 6MMØX30MM EXT.2MT RESOR/BOY2G/CLAV,732.0,136.25
572,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.25,62.82
573,CS12D2040A01,"CAS INOX 1/2""ØX2"" 400W 240V EXT.1MT",663.88,101.4
574,TUA00439,"TUB INOX 1/2""ØX65.8CM 4500W260V M C/TJ",2025.2,0.0
575,TEA00099,"TEA K OJILLOX3MTS CON 1/2""-1/2""NPT",703.45,217.64
576,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",488.0,0.0
577,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.45,62.82
578,TJ00063,"TER J 3/16""ØX45MM LONG EXT.1MTLONG MALLA",994.0,0.0
579,PK31A1I1A000,"TER K 3/16""ØX1"" EXT.7MTS MALLA  Z/ESPADA",551.25,0.0
580,BC00027,BC PLANA 132MMX280MM 2000W240V OCTAGO-TJ,2750.0,797.54
581,BB00101,BB INOX 40MMØX51MM 300W 240V EXT.30CM,475.0,36.52
582,TUE00081,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",2278.45,701.72
583,CAE00011,"CAE 9.4MMØx2""LONG ESC90°150W 220V Ext22""",375.0,88.03
584,RP00197,REPARACION DE HORNO 7000W 220V,6273.0,1368.31
585,TUS00121,"TUB INOX 7/16""ØX30CM 300W127V RECTA/CERA",532.76,33.75
586,BP00263,BAN P A/COMUN 185MMX245MM 1200W440V T/TO,605.4,80.09
587,TU5/16X870J127V,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",689.63,227.18
588,RP00196,REPARACION EQUIPO COCINA 5000W 22OV,13776.88,0.0
589,CS58M2050A11,"CAS INOX 5/8""ØX7"" 500W220V EXT.1MT MALLA",933.85,172.13
590,PJ000GE1A400,"TER J OJILLO 3/16""Ø EXT1.5MTS MALLA/RESO",335.0,58.36
591,TP00021,"TIRA P INOX 8 7/8""ØX11/2"" 1950W240V ALET",1944.0,0.0
592,TP00022,"TIRA P INOX 12 1/2""ØX11/2"" 3100W240V ALE",2133.25,0.0
593,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",424.0,253.0
594,93980461,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5,0.0
595,93980461,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5,0.0
596,54020219,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",2464.2,0.0
597,54020219,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",2464.2,1130.54
598,TUA00131,"TUB INOX 1/2""Øx90CMS U 25KW 440V TAPON 2",4580.0,2061.24
599,RP00193,REAPARACION DE HORNO 1800W 120V,2325.34,518.74
600,TUE00353,"TUB INOX 5/16""ØX15CMØ 1200W127V PARR/90°",564.1,60.64
601,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,685.68
602,TUE00354,"TUB INOX 1/4""ØX455MM 1560W127V M ES/PLAC",1451.65,295.91
603,PJ000GH1A000,"TER J OJILLO 3/16""Ø EXT 5MT MALLA ZAP",572.0,0.0
604,PJ000GJ1A000,"TER J OJILLO 3/16""Ø EXT 10MT MALLA ZAP",812.0,0.0
605,PT00084,PT-100 6MMØX110MM EXT15MTS TEFLON/ZAP,1548.0,0.0
606,PT00010,"PT-100 DE Ø 3/16 X4"" DE LONG. 80 CM",622.0,0.0
607,TUA00127,"TUB INOX 7/16""Øx500mm U 3000W 220V BU5/8",986.0,0.0
608,TUA00321,"TUB INOX 5/16""ØX142MM ""J"" 1000W120V SAND",1133.0,279.88
609,MR01934,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,165.95
610,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,150.86,42.79
611,RP00002,REPARACION HORNO 1500W 120V,474.14,0.0
612,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,806.14
613,TUA00311,"TUB INOX 3/8""ØX186.5CM ""U"" 3000W220V CAP",1526.77,0.0
614,TUE00068,"TUB INOX 7/16""ØX498MM 3000W220V M ESP/PL",1088.0,0.0
615,CAS00080,CAS INOX 18.5MMØX205MM 950W 440V EXT30CM,1296.0,0.0
616,TUS00090,"TUB INOX 3/8""ØX775MM 850W 120V RECTA TOR",689.0,170.19
617,TEA00058,"TER J 1/8""Øx115mm LONG EXT. DE 1220mm CL",578.0,181.72
618,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,253.0
619,70001694,CARTUCHO Ø 8 MM X340 MM 500W 220 V,407.0,0.0
620,70001692,CARTUCHO Ø8MM X 260MM 500W 220V,543.0,0.0
621,70001684,CARTUCHO Ø 10 MM X 460 MM 500W 220V,1365.0,115.41
622,RP00198,FABRICACION TUB  J INOX 2000W 127V C/TE,1139.88,168.7
623,CAS00034,"CART INOX 1/2""Øx16CMS 700W 120V CABLE 50",790.0,117.49
624,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,210.0,77.57
625,TP0022,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,862.35,0.0
626,TEA00101,"TEA J 3/16""ØX12"" CONEC-5/16""ØX1"" EXT1MT",617.2,0.0
627,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",732.0,222.0
628,TUS00122,"TUB INOX 5/16""ØX30CM 800W 240V U DOB90°",582.93,0.0
629,TUS00122,"TUB INOX 5/16""ØX30CM 800W 240V U DOB90°",582.93,0.0
630,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,265.08,97.49
631,CS58G1030A00,"CAS INOX 5/8""ØX3 1/2"" 300W 127V EXT30CM",592.5,0.0
632,TU5/16X203V,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",642.0,321.87
633,BP00264,BAN P INOX 80MMØX255MM 450W 220V T/TOR,994.4,0.0
634,CAS00043,"CART INOX 1/2""Øx3"" 250W 230V CABLE STD",632.5,0.0
635,47980249,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L",980.0,287.63
636,47980626,"BANDA MED. LUNA 22.1/2""x6"" 3kW 460V",1130.5,0.0
637,MR8-250-11-13,CAS 12MMØX312MM 300W110V ESCUAD EXT102CM,840.0,0.0
638,TUA00449,"TUB INOX 5/16""ØX25CM 1000W127V 1""NPTCAJA",1842.5,0.0
639,TUA00450,"TUB INOX 5/16""ØX25CM 250OW127V 1""NPTCAJA",1914.5,0.0
640,TUA00049,"TUB INOX 5/16Øx1790mm 1300W 220V BUSHIG""",1239.3,0.0
641,CBE00012,"CARTUCHO 3/8"" X 8"" 250W, 240V. TUBO PLIC",1047.0,0.0
642,CBE00040,"CBE INOX 3/8""ØX8"" 250W 240V EXT42"" 37""PL",965.0,0.0
643,TK00065,"TER K 1/4""ØX3/4"" TORNILLO/LOCO EXT.80CM",516.0,0.0
644,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,453.24,171.87
645,47980075,TUBULAR 11mmØx850mm 6kW 500V 6pz,7612.73,0.0
646,47980249,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L",980.0,0.0
647,CAS00079,CAS INOX 12MMØX230MM 950W440V EXT.30CM,910.0,0.0
648,TUE00101,"TUB COBRE 5/16""Øx250mm CLIP 2600W 110VTA",1140.86,407.85
649,AK00012,"AK DOBLE 3/16""ØX530MM PLACA-CER4POLOS",750.0,0.0
650,TUA00445,"TUB INOX 5/16""ØX23CM 500W127V CLIP 11/4""",2105.3,848.3
651,CBE00039,"CBE INOX 1/2""ØX120MM 110W115V EX50CM CON",775.6,208.61
652,TJ00091,TER J 4MMØX65MM EXT1M MALLA INOX TRAN6MM,400.64,0.0
653,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,200.3
654,TUE00146,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,266.04
655,TUA00325,"TUB INOX 1/2""ØX75CM ""U"" 30KW440V BRIDA6""",12500.0,3900.52
656,BN00256,BAN A/COMUN 165MMØX89MM 1200W440V C/STD,644.0,79.79
657,BN00257,BAN A/COMUN 258MMØX35MM 1000W440V T/TOR,570.8,83.72
658,BP00263,BAN P A/COMUN 185MMX245MM 1200W440V T/TO,605.4,80.09
659,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",425.0,253.0
660,RP00201,REPARACION DE TERMINAL DE RESISTENCIA,563.5,55.83
661,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",424.0,253.0
662,TUA00436,"TUB INOX 5/16""ØX190MM 1250W127V TAP1""NPT",825.0,0.0
663,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,200.3
664,RP00202,REPARACION DE P/SERIGRAFIA  1800W 110V,739.66,7.6
665,CS58P2120A01,"CAS INOX 5/8""ØX10"" 1200W 240V EXT1MT",936.45,206.22
666,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,378.12
667,TUA00444,"TUB INOX 7/16""ØX36CM 6000W 240V PLAC/CUE",3668.0,602.39
668,CS14D2017B20,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ",812.53,68.34
669,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,135.69
670,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",375.0,54.8
671,TP0006,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3.5 MT,301.5,432.0
672,RP00203,REPARACION HORNO 15KW 440V TOTAL,32582.18,0.0
673,TUE00362,"TUB INOX 5/16""ØX15CM 537W 127V PARR/90°",564.1,0.0
674,TEE00027,"TER J 1/4""ØX12"" CAB/MAR TERM-3/4""NPT",2218.0,717.66
675,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,200.3
676,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,94.5,42.79
677,TUA00438,"TUB INOX 3/8""ØX35CM 3200W240V J TAP11/2""",1697.71,562.77
678,TUA00439,"TUB INOX 1/2""ØX65.8CM 4500W260V M C/TJ",2025.2,0.0
679,TUS00005,"TUB INOX716Øx1421mm LONG ""M"" 3000W/220V""",799.1,174.94
680,TU5/16X203V,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",642.0,321.87
681,BO00061,BOB DSD CAL.12 17.7MMØX55CM  5.2 OHMS,1545.0,89.98
682,TUE00363,"TUB INOX 7/16""ØX50CM 18KW220V ""J"" ESP/PL",3026.6,0.0
683,CS14D2017B20,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ",812.53,0.0
684,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,253.0
685,BO00064,BOB 8020 CAL.26 5MMØX70CM 30W 127V GAZA,655.0,7.2
686,BO00062,BOB 8020 5.5MMØX750MM 1500W115V GAZ40,504.5,43.24
687,CBS00098,CBS INOX 8MMØX265MM 500W 220V EXT.1MT,596.6,0.0
688,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",510.0,135.69
689,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,355.29
690,ECQ-00974,TUBULAR 11mmØx450mm 4500W 480V 6pz,3730.0,1465.29
691,TP0025,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",245.0,92.33
692,TUA00446,"TUB INOX 5/16""ØX32CM 1250W 127V ""M"" BUSH",1410.0,227.74
693,CAS00068,"CAS INOX 3/4""ØX12"" 4000W 260V EXT12"" FV",828.97,65.63
694,CAS00069,"CAS INOX 3/4""ØX24"" 2700W 220V EXT.12"" FV",1049.3,654.97
695,CAS00070,"CAS INOX 3/4""ØX85MM 500W 240V EXT.12"" FV",631.84,23.77
696,CAS00071,"CAS INOX 3/4""ØX260CM 2000W260V EXT.12""FV",800.19,67.69
697,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,181.0,62.82
698,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,225.0,77.57
699,TUA00124,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1572.45,668.43
700,PK51H1JBA600,"TER K 5/16""ØX10"" CON1/2""-1/2"" EXT10M C/M",1600.0,0.0
701,TEE00028,"TER K 3/16""ØX10CM 1/2""X22CM 1/2""NPT/MAR",1073.0,0.0
702,TUS00123,"TUB INOX 5/8""ØX83.5CM 1050W136V T/TORN",996.0,0.0
703,CAS00081,"CAS INOX 3/8""ØX8 1/2"" 500W 110V EXT.40CM",557.5,0.0
704,TP0024,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",192.0,48.49
705,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0,54.8
706,BN00258,BAN A/COMUN 117MMØX100MM 1250W240V C/STD,753.04,0.0
707,TUA00447,"TUB INOX 3/8""ØX102CM 2000W400V ""M"" BUSH",1550.0,0.0
708,TUA00448,"TUB INOX 3/8""ØX107CM 2000W400V ""M"" BUSH",1500.0,0.0
709,TUE00362,"TUB INOX 5/16""ØX15CM 537W 127V PARR/90°",564.1,48.03
710,TP0009,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 6 MT,521.04,205.2
711,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,135.69
712,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0,54.8
713,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,155.0,77.57
714,CM10G1030A00,CAM INOX 10MMØX10CM 300W 127V EXT.30CM,539.6,0.0
715,TUA00457,"TUB INOX 7/16""ØX335MM 1800W 440V ""M"" BUS",1380.0,0.0
716,TP0025,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",330.8,92.24
717,BP00246,BAN P COMUN 218MMX85MM 800W440V 2BA T/TO,345.0,42.65
718,BP00247,BAN P COMUN 219MMX275MM 1800W440V 4B/TOR,994.64,155.39
719,BP00263,BAN P A/COMUN 185MMX245MM 1200W440V T/TO,605.4,80.09
720,TUA00413,"TUB INOX 3/8""ØX175MM 350W220V ""U"" BUSH",735.65,177.85
721,TU5/16X203V240W,"TUB INOX 5/16""ØX203MM 1500W 240V U TAP1""",608.75,331.33
722,EE00059,PRE-SEPARADOR CINTA 7.8 OHMSX 3MT LONG,810.0,0.0
723,BO00063,BOB 8020 CAL.17 19MMØX355MM LON 21KW240V,788.48,0.0
724,RB00021,FAB BOB 8020 CAL.17 7000W 240V M/BAST,2818.4,0.0
725,CS14D2017B20,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ",812.43,111.07
726,TUA00453,"TUB INOX 5/8""ØX485MM 750W 254V RECTA/ALE",1030.0,236.06
727,CS14E1012A00,"CAS INOX 1/4""ØX2 1/2"" 125W 127V EXT30CM",457.82,32.24
728,TEA00103,TEA K ELEMENTO 12CMX EXT.40CM CERAMICO,1470.0,87.04
729,TUA00009,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP",2186.0,1072.93
730,PT00057,"PT-100 2MMX1"" DESNUDO EXT.113CM SOGUILLA",375.0,144.19
731,CAE00011,"CAE 9.4MMØx2""LONG ESC90°150W 220V Ext22""",375.0,0.0
732,TT00009,"TER T 3/16""ØX47MM EXT 3MT CON/SOG/CLAV",796.25,0.0
733,TT00010,"TER T 3/16""ØX82MM EXT 3MT CON/SOG/CLAV",850.5,0.0
734,P9K1J1D1G030,AK 1MMØX15CM EXT1MT MALLA CLA/MACHO,635.0,76.68
735,TU5/16X870J127V,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",702.59,227.18
736,P214J1BBA600,"PT-100 1/4""ØX15CM CON1/2""-1/2""NPT EXT30C",1265.0,521.59
737,BN00260,"BAN INOX 4""ØX4"" 500W230V T/TOR C/ALLEN",675.0,174.16
738,BN00261,BAN INOX 41MMØX203MM 1000W220V C/STD,696.0,91.63
739,CS38C1008A00,"CAS INOX 3/8""ØX1 1/2"" 80W 127V EXT.30CM",488.62,0.0
740,TJ00029,"TER J 3/16""x6"" LONG EXT 1.5 MTS PLICA",710.0,0.0
741,TUA00099,"TUB ""U""7/16""ØX835mm EN BRIDA3""18KW440V.",3349.0,0.0
742,TUA00191,"TUB INOX. 7/16""Øx700mm U 10KW 440V U TAP",2665.0,0.0
743,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,435.72,97.49
744,BP00215,BAN P COMUN 45MMX390MM 1200W240V B/CERAM,648.3,97.53
745,RP00191,REPARACION TERMINALES BANDA 1500W 220V,419.0,10.7
746,BOBINA002,BOBINA DSD CAL.17 12mmØx410mm 4000W 254V,369.5,18.14
747,BOBINA003,BOBINA BASTIDOR 12mmØx410mm 12kW440V 3pz,4500.88,0.0
748,TUS00016,"TUB INOX. 5/16""Øx625mm 1200W, 220V. U",625.7,0.0
749,TUS00017,"TUB INOX 5/16""x625mm 950W 220V U",625.7,100.68
750,TUS00018,"TUB INOX. 5/16 Øx625mm 850W,220V U",625.7,0.0
751,PA00011,P.CUARZO 10CMX20CM 1600W440V EXT30CM TK,1518.0,0.0
752,PA00012,P.CUARZO 10CMX50CM 4000W440V EXT30CM TK,2776.65,0.0
753,TUA00458,"TUB INOX 1/4""ØX40CM 6000W230V ""U"" PLACA",2008.0,473.55
754,PT31B1G1AG00,"TER T 3/16""ØX11/2"" EXT.3MT PUNTA OJILLO",587.0,0.0
755,PT00087,"PT-100 3/8""ØX35MM EXT.1.5MT CON-1/2""NPT",780.5,0.0
756,TUA00459,"TUB INOX 7/16""ØX42CM 2000W 240V ""M"" BUSH",1165.95,0.0
757,TUA00461,"TUB INOX 7/16""ØX690MM 1000W 127V ""U"" BUS",1112.0,0.0
758,TUE00171,"TUB INOX 1/4""Øx297mm 1750W 220V ESP BUSH",1254.2,0.0
759,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0,54.8
760,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,141.3
761,TUA00460,"TUB INOX 5/16""ØX325MM 1700W 240V ""M"" BUS",921.37,0.0
762,TUE00004,"TUBU"" 5/16""Øx280mm 600W 127V C/PLACA""",518.97,123.23
763,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,773.12
764,TEA00004,"TEA K"" 18mmØx540mm CABEZA MARINA""",1054.0,665.36
765,BN00216,BAN INOX 130MMØX60MM 800W 220V/380V,523.85,276.18
766,TUA00009,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP",2186.0,925.21
767,BL00012,BAN M/LUNA INOX 205mmx143mm. 1200W 120V,727.58,136.58
768,PJ31F1F1A400,"TER J 3/16""ØX4"" EXT.2MT MALLA/RES/ZAP",343.0,0.0
769,ECQ-00971,"TUBULAR  ""U"" 5/16""Øx13.5"" 4500W480V 3pz",976.0,405.35
770,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",732.0,260.2
771,TUA00459,"TUB INOX 7/16""ØX42CM 2000W 240V ""M"" BUSH",1165.95,345.97
772,BL00057,BAN M/LUNA 100MMØX41MM 200W240V C/STD,404.65,0.0
773,BL00058,BAN M/LUNA 270MMX42MM 900W 240V C/STD,648.5,65.25
774,BP00265,BAN P COMUN 62MMX140MMX200M 900W240V ORI,648.5,64.34
775,BP00266,BAN P COMUN 62MMX140MMX200M 900W240V STD,693.35,64.34
776,TP0007,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 7 MT,576.03,210.24
777,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,657.12,265.64
778,TP0009,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 6 MT,499.7,205.2
779,BS00012,BP S/BLINDAJE 160MMX160MM 900W127V EXT3O,659.6,0.0
780,ABRAZA01,ABRAZADERA INOX PARA AJUSTE 2 pz c/u,123.0,15.03
781,TEA00006,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,133.05
782,TEA00006,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,133.05
783,93980461,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5,1357.1
784,54020219,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",2464.2,1130.54
785,47980249,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L",980.0,295.59
786,EE00060,"FAB TERMOPOZO 6MMØX85MM CON 1/2""NPT",1074.04,0.0
787,PJ000NH1A400,"TER J OJILLO 1/4""Ø EXT 5MT MALLA/RES/ZAP",788.88,42.63
788,P131B1I14000,"PT-100 3/16""ØX1 1/2"" EXT.7MT TEFLON 2HIL",727.31,0.0
789,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",624.27,54.8
790,PJ000GH1A000,"TER J OJILLO 3/16""Ø EXT 5MT MALLA ZAP",572.0,206.11
791,PJ000GJ1A000,"TER J OJILLO 3/16""Ø EXT 10MT MALLA ZAP",812.0,0.0
792,PT00063,PT-100 6MMØX110MM CONECTOR EXT15MTS,1548.0,0.0
793,BS00010,BS/BLINDAJE 168MMXLADO 700W127V F/OCTAGO,660.0,0.0
794,BN00263,BAN A/COMUN 345MMØX71MM 2000W 440V STD,1186.17,172.53
795,BP00267,BAN P COMUN 30MMX114CM 1500W110V T/TORNI,675.0,0.0
796,MR01934,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,161.73
797,TUA00318,"TUB INOX ALETA 5/16""ØX600MM U 2KW254V BU",1666.18,0.0
798,TUA00459,"TUB INOX 7/16""ØX42CM 2000W 240V ""M"" BUSH",1165.95,345.97
799,CAS00083,CAS INOX 12.5MMØX125MM 300W 280V EXT1MT,607.1,0.0
800,CAS00084,CAS INOX 12.5MMØX165MM 300W 280V EXT.1MT,611.51,0.0
801,CAS00085,CAS INOX 12.5MMØX265MM 400W 280V EXT.1MT,753.42,0.0
802,CAS00086,CAS INOX 12.5MMØX85MM 150W 280V EXT.1MT,535.48,0.0
803,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",572.5,144.4
804,PT00088,"PT-100 1/4""ØX215MM EXT1.5MT CON7/16""FINO",794.0,0.0
805,TUE00364,"TUB INOX 3/8""ØX210MM 1500W 240V CIRC/90°",941.0,165.65
806,BP00070,BAN P INOX 80MMX250MM 400W 220V T/TOR,636.3,110.15
807,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,400.0,171.87
808,TUA00376,"TUB INOX 1/2""ØX147CM 35KW480V 2 1/2"" NPT",7133.17,0.0
809,TJ00092,"TER J 1/8""ØX120MM EXT2MT MALLA/TRAN5/16""",798.0,156.34
810,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,139.0,42.79
811,CBS00104,"CBS INOX 1/2""ØX8"" 350W 110V ESC EXT30CM",786.7,150.16
812,PT00034,"PT-1000 1/4""ØX2"" EXT. 1MT DE PVC 2 HILOS",2105.0,0.0
813,AJ00010,"AEROPACK J 1/8""ØX88MM EXT3MT CON1/8""NPT",652.0,0.0
814,TUE00367,"TUB INOX 5/6""ØX30CM 1800W220V ""J"" ESP/CO",968.5,0.0
815,TEE00017,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",2218.27,1389.6
816,PT00047,"PT-100 3/16""Øx3 1/2"" LONG EXT3MTS,3HILOS",810.0,257.6
817,TUA00177,"TUB INOX 5/16""x2580mm M 1800W 220V BUSHI",1552.5,0.0
818,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",348.0,54.8
819,RP00205,REAPARACION PLANCHA SERIGRAFIA 1.8KW120V,3120.0,1195.0
820,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,315.0,97.49
821,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,435.72,171.87
822,TU5/16X215V240W,"TUB INOX 5/16""ØX215MM 1500W 240V U 1""NPT",1127.0,0.0
823,TUE00105,"TUB INOX 1/2""Øx68CM U 4000W 220V PLACA C",4956.73,1306.63
824,70001694,CARTUCHO Ø 8 MM X340 MM 500W 220 V,407.0,155.25
825,70001696,CARTUCHO Ø 8MM X 520 MM 500 W 220 V,541.25,0.0
826,CBE00041,CBE INOX 10MMØX460MM 300W 48V EXT30CM,1365.0,0.0
827,CBS00056,CART INOX 11.43mmØx450mm 300W 48V CABLE,681.75,122.18
828,RP00206,REPARACION CARTUCHO 27MMØX2150MM 2KW440V,3200.0,0.0
829,RP00207,REPARACION CARTUCHO 27MMØX1800MM 2KW440V,3200.0,0.0
830,RP00208,REPARACION CARTUCHO 27MMØX1697MM 2KW440V,3200.0,0.0
831,TUE00061,"TUB COBRE 7/16""Øx415MM 18KW 500V ""J"" 3PZ",3521.6,585.92
832,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,429.81
833,TEA00023,"TEA K 1/2""Øx1800mm CON1/2-1/2 C/MARINA",4250.0,788.54
834,PT00033,PT-100 4mmx100mm EXT 2 MTS DOBLEZ A 45°,846.2,244.91
835,CS38K2025A2D,"CAS INOX 3/8""ØX5 1/2"" 250W240V EX1.5M PL",1050.69,0.0
836,TUE00366,"TUB INOX 5/16""ØX205MM 1500W240V ESPIR/BU",2132.55,0.0
837,PA00008,P.CUARZO 98MMX340MM 1600W110V EXT11CM TK,3650.0,790.28
838,PA00009,P.CUARZO 98MMX340MM 1600W110V EXT. 11CM,3250.0,753.71
839,PA00005,P.CUARZO 10CMX25.5CM 1000W240V EX40CM TK,2550.0,703.11
840,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,155.0,0.0
841,TUA00464,"TUB INOX ALETADA 7/16""ØX26CM 950W277V U",916.36,0.0
842,TUE00172,"TUB INOX 1/2""ØX670MM 22.5W480V BRIDA 6""",25258.15,5169.85
843,TUE00247,"TUB INOX 7/16""ØX490MM U ESP 3200W 220V",961.45,0.0
844,BP00259,"BAN P INOX 5 1/2""X5 1/2"" 660W220V EX30CM",485.2,89.76
845,BP00260,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC",570.3,72.34
846,BP00259,"BAN P INOX 5 1/2""X5 1/2"" 660W220V EX30CM",485.2,0.0
847,BP00260,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC",570.3,0.0
848,PJ31A1I1A400,"TER J 3/16""ØX1"" EXT7MT MALLA Z/INOX",686.0,0.0
849,BB2X2ST,"BOQUILLA 2X2""  350W 240V""",462.0,220.0
850,TUA00463,"TUB INOX 1/2""X66CM 4500W 480V 2 1/2"" 3PZ",4188.63,0.0
851,RP00165,REPARACION DE BATIDOR 16.6KW 440V,14000.0,0.0
852,TUA00436,"TUB INOX 5/16""ØX190MM 1250W127V TAP1""NPT",825.0,333.0
853,PT00047,"PT-100 3/16""Øx3 1/2"" LONG EXT3MTS,3HILOS",810.0,257.6
854,TUE00061,"TUB COBRE 7/16""Øx415MM 18KW 500V ""J"" 3PZ",3521.6,1225.86
