,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO
98,CS38E1017A00,"CAS INOX 3/8""ØX2 1/2"" 175W 127V EXT.30CM",495.0,0.0
99,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,125.0,71.25
100,TP0025,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",175.0,75.89
101,PT00082,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,0.0
102,54020219,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",2464.2,1041.08
103,93980461,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5,1298.68
104,PJ14F10B0600,"TER J 1/4""ØX4"" CON 1/2""-1/2""NPT BLOCK-CA",925.6,0.0
105,TUE00057,"TUB INOX 7/16""Øx280mm U 9000W 240V PLACA",1517.63,435.3
106,TUE00331,"TUB INOX 1/4""ØX123MM 250W220V CIRCULAR/M",498.85,0.0
107,BT00005,FAB BOBINA 8020 2000W 220V BASTIDOR NVO,2629.5,167.3
108,RC00024,"RC 5/16""ØX37CM 300W 110V EXT. 25CM",535.09,104.4
109,TUE00332,"TUB INOX 1/2""ØX2018MM 4000W 250V ESP/BUS",1195.84,0.0
110,TUA00124,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1572.45,0.0
111,TUE00063,"TUB INOX 5/16""ØX362CM 5000W220 V T/CABLE",2375.5,0.0
112,TUE00129,TUE Ø 8 MM X 303 APROX 5000 W 220 V,2080.85,0.0
113,TUE00008,"TUBU"" 5/16""Øx21.5cm 2700W220V 3PZ COBRE""",2118.0,0.0
114,TUA00401,"TUB INOX 7/16""ØX26CM 2700W 240V ""M"" BUSH",1250.0,281.94
115,CAS00066,CAS INOX 12MMØX90MM 220W 110V  EXT.15CMS,617.0,0.0
116,BB00077,BB INOX 40MMØX60MM 300W 240V EXT.30CM,510.0,0.0
117,TUS00052,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",197.5,13.38
118,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",1000.0,0.0
119,TJ00087,"TER J 3/16""ØX5"" EXT4MT RES/MALLA INOX",425.2,0.0
120,TJ00088,"TER J 3/16""ØX9"" EXT4MT RES/MALLA INOX",485.5,0.0
121,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,220.0
122,CBS00002,"CAR BAJA INOX 5/8x97CMS 2400W 440V CABL""",3892.24,492.92
123,TUS00052,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",197.5,13.38
124,TUA00407,"TUB INOX 5/16""ØX25.5CM 2500W110V CLIP PL",871.5,174.76
125,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,375.29,0.0
126,65014-38,CAE 12.5MMØx312.42MMLONG 90° 1200W 220V,1100.0,246.94
127,CS12G1040A00,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM",565.4,90.18
128,MA00001,"TERMOPOZO COBRE 3/8""x126mm 1/2""A1/2"" NPT",351.64,156.83
129,TUA00412,"TUB INOX 5/16""ØX240MM 1000W 120V BUS5/8",988.25,0.0
